"Add","Adicionar"
"Allowed Postal Codes Ranges","Faixas de CEPs Permitidas"
"Mixed","Diversos"
"%s - %d days","%s - %d dias"
"Frete Click Order Id: %s","Número da Cotação: %s"
"Cheapest Shipping","Frete Econômico"
"Fastest Shipping","Frete Expresso"
"Display cheapest and fastest only","Exibir apenas Econômico e Expresso"
"Summarizes the shipping quote to two results only. The cheapest and the fastest.","Resume a cotação de frete a apenas dois resultados. O frete mais econômico, e o frete mais rápido."
"Zip From","CEP inicial"
"Zip To","CEP final"
